project_id,ICR_outratingind,ICR_completion_riskdo,ICR_overallrating,ICR_bankqualityentry,ICR_banksupervision,ICR_borroverall,ICR_borrgovt,ICR_borrimplegency,IEG_outcome,IEG_evaluation_riskdo,IEG_bankqualityatentry,IEG_bankqualityofsupervision,IEG_overallbankperf,IEG_overallborrowperf,IEG_borrowcompliance,IEG_borrowimplementation,IEG_icrquality,IEG_mequality
P100101,Moderately Unsatisfactory,NIL,Moderately Satisfactory,,,,,,,NIL,,,,,,,,NIL
P113457,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,MODERATE,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P113506,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,SIGNIFICANT,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P087304,Moderately Satisfactory,NIL,Moderately Satisfactory,,,,,,,NIL,,,,,,,,NIL
P107303,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,MODERATELY SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,NOT APPLICABLE,SATISFACTORY,MODEST
P116928,,NIL,,,,,,,,NIL,,,,,,,,NIL
P096707,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,NEGLIGIBLE TO LOW,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,EXEMPLARY,HIGH
P101684,Unsatisfactory,NIL,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,HIGHLY UNSATISFACTORY,HIGH,UNSATISFACTORY,UNSATISFACTORY,UNSATISFACTORY,UNSATISFACTORY,HIGHLY UNSATISFACTORY,UNSATISFACTORY,SATISFACTORY,NEGLIGIBLE
P096302,Moderately Satisfactory,NIL,Moderately Satisfactory,,,,,,,NIL,,,,,,,,NIL
P098845,,NIL,,,,,,,,NIL,,,,,,,,NIL
